CustomerID,Name,State,Age,Gender
1,Jelani Sofoluwe,Akwa,35,Male
2,Lee Balarabe,Jigawa,66,Male
3,Lawrence Akinde,Plateau,64,Male
4,Freya Ajudua,Niger,58,Male
5,Declan Ujah,Akwa,57,Male
6,Steel Maikori,Gombe,75,Male
7,Hammett Umelo,Anambra,59,Male
8,Wendy Ajudua,Oyo,21,Male
9,Lucas Adeniran,Borno,49,Male
10,Carl Igbinoghene,Katsina,51,Male
11,Xavier Igbinoghene,River,67,Male
12,Reed Fuwape,Sokoto,74,Male
13,Ignacia Balarabe,Bauchi,40,Male
14,Oliver Okojie,Adamawa,36,Male
15,Brent Abadaki,Lagos,31,Male
16,Aristotle Anjorin,Enugu,34,Male
17,Jonas Coker,Sokoto,57,Male
18,Lacy Aladefa,Gombe,75,Male
19,Isabella Abaribe,Kogi,18,Male
20,Alexis Ayanbadejo,Adamawa,58,Male
21,Henry Aneke,Imo,41,Male
22,Jada Igbinoghene,Ebonyi,71,Male
23,Igor Makinde,Kwara,74,Male
24,Rajah Udoka,Cross,26,Male
25,Alvin Aneke,Lagos,69,Male
26,Beau Chibuzor,Akwa,24,Male
27,Martin Osakwe,Bauchi,69,Male
28,Michael Ofoedu,Kano,48,Male
29,Teegan Gwarzo,Plateau,63,Male
30,Chloe Nwakaeme,Ogun,24,Male
31,Reece Adekugbe,Lagos,31,Male
32,Judah Ameobi,Taraba,33,Male
33,Colette Olonisakin,Enugu,19,Male
34,Eleanor Igbinoghene,Oyo,63,Male
35,Quail Okojie,Katsina,24,Male
36,Brett Ibekwe,Yobe,43,Male
37,Madaline Gwarzo,Katsina,64,Male
38,Dennis Adarabioyo,Akwa,22,Male
39,Evan Abaribe,Oyo,38,Male
40,Mia Aderemi,Sokoto,30,Male
41,Yoshi Okojie,Bauchi,22,Male
42,Melinda Ogedegbe,Kaduna,24,Male
43,Lawrence Ajudua,Benue,58,Male
44,Camille Olunloyo,Ekiti,70,Male
45,Sean Umelo,Cross,62,Male
46,Dolan Aladefa,Imo,56,Male
47,Gil Olunloyo,Ogun,56,Male
48,Gisela Onoja,Osun,33,Male
49,Keith Umelo,Delta,42,Male
50,Tanisha Oteh,Sokoto,59,Male
51,Joel Ameobi,Katsina,49,Male
52,September Fuwape,Ebonyi,52,Male
53,Coby Ihemeje,Kano,64,Male
54,Kylan Abadaki,Adamawa,69,Male
55,Vera Abagun,Rivers,22,Male
56,Karyn Anjorin,Adamawa,31,Male
57,Vanna Abaribe,Ebonyi,65,Male
58,Castor Fuwape,Bauchi,26,Male
59,Theodore Idonije,Cross,22,Male
60,Philip Daramola,Ebonyi,20,Male
61,Melinda Oteh,Yobe,40,Male
62,Lacey Oliha,Lagos,38,Male
63,Veronica Aderemi,Niger,24,Male
64,Lucius Okojie,Kwara,49,Male
65,Stewart Sofoluwe,Anambra,46,Male
66,Keith Ibekwe,Nasarawa,49,Male
67,Ginger Olunloyo,Adamawa,61,Male
68,Elvis Bakare,Sokoto,39,Male
69,Amelia Olaoye,Ebonyi,61,Male
70,Byron Adewusi,Rivers,34,Male
71,Quentin Chibuzor,Bayelsa,73,Male
72,Hadassah Coker,Nasarawa,52,Male
73,Aileen Ajudua,Osun,45,Male
