CustomerID,Name,Age,Gender,State,Genre,Format,Device,Viewing_Frequency,Total_Viewing_Time,Plan,Monthly_Cost,Duration,Rating
1,Jelani Sofoluwe,35,Male,Akwa,Religion,TV-Shows,Decoder,4,72777,Basic,2500,4,4
2,Lee Balarabe,66,Male,Jigawa,Comedy,Live-Events,Tv-App,5,251472,Premium,5000,1,2
3,Lawrence Akinde,64,Male,Plateau,Comedy,TV-Shows,Tv-App,11,137732,Premium,5000,3,4
4,Freya Ajudua,58,Male,Niger,Sports,TV-Shows,Tv-App,2,105950,Elite,10000,12,2
5,Declan Ujah,57,Male,Akwa,Music,Live-Events,Browser,7,464270,Premium,5000,2,3
6,Steel Maikori,75,Male,Gombe,Music,Live-Events,Tv-App,6,460985,Basic,2500,8,1
7,Hammett Umelo,59,Male,Anambra,Comedy,Live-Events,Mobile-App,1,106246,Premium,5000,1,4
8,Wendy Ajudua,21,Male,Oyo,Documentaries,Live-Events,Browser,10,338696,Premium,5000,4,5
9,Lucas Adeniran,49,Male,Borno,News,TV-Shows,Decoder,2,214481,Basic,2500,4,3
10,Carl Igbinoghene,51,Male,Katsina,Sports,Live-Events,Decoder,11,7113,Premium,5000,7,4
11,Xavier Igbinoghene,67,Male,River,Religion,Live-Events,Decoder,7,86630,Premium,5000,11,4
12,Reed Fuwape,74,Male,Sokoto,Sports,Live-Events,Tv-App,1,132276,Premium,5000,6,3
13,Ignacia Balarabe,40,Male,Bauchi,Cartoons,Live-Events,Decoder,7,467100,Premium,5000,4,5
14,Oliver Okojie,36,Male,Adamawa,Action,Live-Events,Tv-App,5,46084,Premium,5000,10,4
15,Brent Abadaki,31,Male,Lagos,Comedy,TV-Shows,Mobile-App,8,294515,Premium,5000,10,3
16,Aristotle Anjorin,34,Male,Enugu,Religion,Live-Events,Decoder,11,31486,Premium,5000,10,3
17,Jonas Coker,57,Male,Sokoto,Talk-Shows,TV-Shows,Browser,11,292776,Basic,2500,10,3
18,Lacy Aladefa,75,Male,Gombe,Comedy,Live-Events,Tv-App,1,501515,Basic,2500,10,2
19,Isabella Abaribe,18,Male,Kogi,Reality,TV-Shows,Mobile-App,4,566312,Basic,2500,5,4
20,Alexis Ayanbadejo,58,Male,Adamawa,Documentaries,TV-Shows,Browser,10,195176,Elite,10000,3,2
21,Henry Aneke,41,Male,Imo,Cartoons,Live-Events,Decoder,4,323985,Premium,5000,4,4
22,Jada Igbinoghene,71,Male,Ebonyi,Talk-Shows,TV-Shows,Decoder,2,270356,Basic,2500,6,5
23,Igor Makinde,74,Male,Kwara,Music,Live-Events,Tv-App,6,325212,Elite,10000,8,5
24,Rajah Udoka,26,Male,Cross,Music,TV-Shows,Tv-App,8,526865,Premium,5000,4,2
25,Alvin Aneke,69,Male,Lagos,Talk-Shows,TV-Shows,Mobile-App,9,572492,Elite,10000,11,4
26,Beau Chibuzor,24,Male,Akwa,Reality,TV-Shows,Tv-App,7,4819,Elite,10000,8,1
27,Martin Osakwe,69,Male,Bauchi,Talk-Shows,Live-Events,Decoder,1,205508,Elite,10000,11,2
28,Michael Ofoedu,48,Male,Kano,Cartoons,Live-Events,Mobile-App,11,200272,Elite,10000,1,2
29,Teegan Gwarzo,63,Male,Plateau,Cartoons,TV-Shows,Tv-App,9,520345,Elite,10000,10,2
30,Chloe Nwakaeme,24,Male,Ogun,Cartoons,Live-Events,Decoder,3,265021,Premium,5000,6,3
31,Reece Adekugbe,31,Male,Lagos,Comedy,Live-Events,Decoder,4,128677,Premium,5000,8,2
32,Judah Ameobi,33,Male,Taraba,Reality,Live-Events,Decoder,4,82811,Premium,5000,7,2
33,Colette Olonisakin,19,Male,Enugu,Reality,Live-Events,Mobile-App,3,265991,Premium,5000,3,4
34,Eleanor Igbinoghene,63,Male,Oyo,Sports,TV-Shows,Browser,1,300015,Elite,10000,1,4
35,Quail Okojie,24,Male,Katsina,Religion,TV-Shows,Decoder,9,47871,Elite,10000,10,5
36,Brett Ibekwe,43,Male,Yobe,Talk-Shows,Live-Events,Mobile-App,5,311871,Premium,5000,4,3
37,Madaline Gwarzo,64,Male,Katsina,Cartoons,Live-Events,Decoder,2,15865,Premium,5000,2,4
38,Dennis Adarabioyo,22,Male,Akwa,Talk-Shows,TV-Shows,Tv-App,6,596618,Elite,10000,10,1
39,Evan Abaribe,38,Male,Oyo,Comedy,Live-Events,Decoder,1,463106,Premium,5000,2,3
40,Mia Aderemi,30,Male,Sokoto,Action,TV-Shows,Tv-App,8,551300,Elite,10000,8,3
41,Yoshi Okojie,22,Male,Bauchi,Music,Live-Events,Tv-App,1,433819,Basic,2500,9,4
42,Melinda Ogedegbe,24,Male,Kaduna,Cartoons,TV-Shows,Tv-App,2,186288,Elite,10000,2,4
43,Lawrence Ajudua,58,Male,Benue,Reality,Live-Events,Decoder,8,26738,Basic,2500,7,4
44,Camille Olunloyo,70,Male,Ekiti,Reality,Live-Events,Tv-App,8,202308,Premium,5000,6,4
45,Sean Umelo,62,Male,Cross,Music,Live-Events,Mobile-App,9,124578,Premium,5000,1,1
46,Dolan Aladefa,56,Male,Imo,Talk-Shows,TV-Shows,Decoder,4,435553,Premium,5000,6,4
47,Gil Olunloyo,56,Male,Ogun,Talk-Shows,Live-Events,Tv-App,1,133539,Elite,10000,11,3
48,Gisela Onoja,33,Male,Osun,Cartoons,TV-Shows,Tv-App,4,157322,Basic,2500,2,1
49,Keith Umelo,42,Male,Delta,Drama,Live-Events,Mobile-App,1,43278,Premium,5000,7,3
50,Tanisha Oteh,59,Male,Sokoto,Music,Live-Events,Tv-App,5,234039,Premium,5000,9,3
51,Joel Ameobi,49,Male,Katsina,Comedy,Live-Events,Decoder,11,552017,Basic,2500,3,2
52,September Fuwape,52,Male,Ebonyi,Music,Live-Events,Browser,9,464046,Premium,5000,5,5
53,Coby Ihemeje,64,Male,Kano,Talk-Shows,TV-Shows,Mobile-App,7,524166,Elite,10000,10,1
54,Kylan Abadaki,69,Male,Adamawa,Reality,TV-Shows,Tv-App,2,197323,Elite,10000,9,2
55,Vera Abagun,22,Male,Rivers,Documentaries,TV-Shows,Browser,1,458928,Elite,10000,8,2
56,Karyn Anjorin,31,Male,Adamawa,Music,TV-Shows,Mobile-App,4,203604,Premium,5000,7,4
57,Vanna Abaribe,65,Male,Ebonyi,Action,Live-Events,Decoder,5,575870,Premium,5000,4,1
58,Castor Fuwape,26,Male,Bauchi,Music,Live-Events,Decoder,10,55311,Basic,2500,5,3
59,Theodore Idonije,22,Male,Cross,Comedy,TV-Shows,Mobile-App,9,440751,Premium,5000,12,3
60,Philip Daramola,20,Male,Ebonyi,Reality,TV-Shows,Decoder,4,215378,Premium,5000,5,5
